Letra;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57;x58;x59;x60;x61;x62;x63;x64;x65;x66;x67;x68;x69;x70;x71;x72;x73;x74;x75;x76;x77;x78;x79;x80;x81;x82;x83;x84;x85;x86;x87;x88;x89;x90;x91;x92;x93;x94;x95;x96;x97;x98;x99;x100
L3;11;11;45;45;50;44;44;44;44;44;44;44;44;44;50;50;50;44;44;44;44;44;50;45;45;45;45;50;44;44;44;44;44;44;44;44;44;44;50;50;45;45;45;45;45;50;50;44;44;44;44;44;50;45;45;45;45;45;45;50;44;44;44;44;44;50;50;45;45;45;45;45;45;45;45;50;50;44;44;44;44;44;44;44;38;38;38;33;33;33;33;33;27;27;22;22;22;17;17;11
L4;2;17;24;33;38;64;54;33;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;14;35;34;23;6;4;3;3;3;2;3;3;3;3;2;3;3;3;2;2;2;3;2;2;3;3;2;2;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;2;2;2;2;2;2;1;1;1
M1;0;3;5;5;4;4;6;6;6;8;9;8;10;9;7;7;6;6;6;5;5;6;6;6;6;7;8;9;8;7;5;8;5;6;7;9;10;10;10;10;9;9;11;11;9;5;4;5;6;7;6;6;6;7;6;5;5;5;5;6;5;6;5;5;6;6;5;5;5;5;4;4;4;4;4;5;6;6;6;7;8;11;10;10;11;10;8;9;10;11;12;9;9;10;9;10;9;7;4;2
M2;2;2;2;2;7;7;7;11;11;11;15;15;15;16;16;16;16;25;25;25;30;30;30;34;34;34;38;38;38;38;42;42;42;46;46;46;48;48;48;51;51;51;52;52;52;52;48;48;48;48;48;48;46;46;46;48;48;48;48;39;39;39;36;36;36;32;32;32;28;28;28;24;24;24;24;21;21;21;18;18;18;16;16;16;10;10;10;10;9;9;9;9;9;9;7;7;7;1;1;1
M3;6;6;6;6;11;11;11;15;15;15;18;18;18;21;21;21;21;30;30;30;35;35;35;39;39;39;37;37;37;37;42;42;42;45;45;45;46;46;46;49;49;49;50;50;50;50;46;46;46;46;46;46;45;45;45;46;46;46;46;37;37;37;34;34;34;31;31;31;27;27;27;23;23;23;23;20;20;20;17;17;17;15;15;15;10;10;10;10;9;9;9;9;9;9;6;6;6;1;1;1
M4;0;2;3;4;5;6;5;5;5;4;4;5;5;5;5;5;7;7;7;8;8;7;7;8;8;9;10;12;11;8;9;11;9;10;10;9;8;7;7;8;8;6;7;7;7;7;7;7;7;6;6;6;6;8;8;8;7;7;7;7;6;7;7;8;8;7;7;9;10;11;10;10;9;9;8;8;7;6;8;9;9;10;7;7;7;6;8;8;9;9;10;9;10;11;11;10;10;7;5;2
N1;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;34;34;34;34;34;34;34;34;34;34;34;34;34;34
N2;15;15;26;26;31;31;41;41;45;51;51;97;97;98;98;98;98;98;98;98;98;98;98;98;98;98;98;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;98;98;98;98;98;98;98;98;98;97;97;97;97;97;96;96;96;96;95;95;94;94;94;93;93;74;74;67;62;62;53;53;51;51;45
N3;12;13;14;13;14;14;13;14;13;13;14;13;13;14;13;14;13;14;13;13;14;13;13;14;14;14;14;13;14;13;13;14;13;13;14;13;14;13;13;14;13;13;14;13;14;13;13;14;13;14;14;13;14;14;13;13;13;13;14;16;20;21;25;28;30;33;35;36;40;43;46;49;56;74;99;99;99;99;99;99;98;98;98;98;97;95;93;90;87;84;82;81;78;75;73;70;66;58;51;37
N4;2;6;15;30;39;75;74;74;73;72;70;69;68;55;42;14;13;13;14;14;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;12;13;13;12;13;12;12;13;12;13;13;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;12;12;12;12;19;60;61;61;61;61;61;61;59;54
O1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
O2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
O3;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
O4;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
P1;69;95;96;96;96;96;97;98;99;98;24;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;9;9;10;10;10;11;10;10;10;11;9;10;11;11;10;11;11;9;11;10;11;12;12;11;11;12;11;13;12;14;14;14;15;18;23;30;28;28;26;24;22;19;16;12
P2;64;74;75;75;75;75;76;77;78;77;16;9;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;9;9;10;10;10;11;10;10;10;11;9;10;11;11;10;11;11;9;11;10;11;12;12;11;11;12;11;13;12;14;14;14;15;18;23;30;28;28;26;24;22;19;16;12
P3;98;99;100;100;100;100;100;100;100;100;99;97;4;6;6;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;7;7;7;7;7;7;8;8;7;7;7;7;8;8;7;7;8;8;7;7;8;8;8;9;8;8;9;8;9;9;9;9
P4;2;4;4;4;5;5;5;8;10;10;10;10;10;10;10;10;10;10;10;10;10;74;99;99;99;99;99;99;98;11;11;11;12;12;12;12;11;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;9;9;10;10;11;10;10;11;10;10;11;10;11;11;11;11;11;12;12;11;12;11;12;14;14;15;17;23;30;28;26;24;21;18;14
Q1;8;19;27;33;39;44;33;28;25;23;21;20;19;16;15;15;13;12;13;11;12;11;12;10;12;10;10;10;11;11;11;10;11;10;10;10;9;10;10;10;10;10;10;10;10;9;9;10;9;10;10;9;10;10;10;11;10;10;10;11;10;10;8;9;10;11;10;26;31;30;30;32;19;16;18;19;19;17;18;17;18;18;19;17;18;18;19;19;20;20;21;23;23;27;26;39;36;32;26;20
Q2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Q3;14;19;21;25;26;28;29;32;36;37;39;41;42;43;43;46;47;49;50;51;52;54;55;55;47;44;42;42;42;39;37;36;35;34;33;34;31;31;30;29;29;29;29;28;28;27;27;26;26;25;25;24;24;24;24;24;24;23;23;23;23;23;22;22;22;22;22;21;21;21;22;21;21;20;21;21;20;20;20;20;19;20;20;21;20;19;20;20;20;19;19;19;20;19;17;15;12;9;5;3
Q4;5;5;5;5;5;5;5;5;6;6;6;5;5;5;5;6;6;7;7;10;10;16;20;20;22;21;22;22;22;22;22;23;25;25;18;15;17;17;18;19;21;20;20;20;18;19;20;21;19;19;19;19;20;20;21;19;19;18;19;19;18;19;19;20;20;20;19;20;20;20;22;20;21;20;21;22;22;24;23;25;25;26;25;26;29;29;28;30;43;41;39;38;36;34;32;29;26;23;20;16
R1;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
